,Số hiệu chuyến bay,Khởi hành,Đến,Airbus,SkyBOSS_Business,SkyBOSS,Deluxe,Eco,Thuế_phí
0,VJ640,2023-06-24 21:25:00,2023-06-24 22:45:00,Airbus A321,,3164800.0,1339900.0,1009900.0,593.0
1,VJ642,2023-06-24 21:45:00,2023-06-24 23:05:00,Airbus A321B,,3164800.0,1251900.0,921900.0,593.0
2,VJ646,2023-06-24 22:40:00,2023-06-25 00:00:00,Airbus A321,,3164800.0,887800.0,756900.0,593.0
3,VJ620,2023-06-25 05:35:00,2023-06-25 06:55:00,Airbus A321,,3714800.0000000005,2925000.0,2413500.0,593.0
4,VJ622,2023-06-25 07:05:00,2023-06-25 08:25:00,Airbus A321,,3164800.0,1427900.0,1097900.0,593.0
5,VJ624,2023-06-25 09:35:00,2023-06-25 10:55:00,Airbus A321,,3714800.0000000005,2925000.0,2413500.0,593.0
6,VJ628,2023-06-25 11:30:00,2023-06-25 12:50:00,Airbus A321,,3164800.0,1658900.0,1273900.0,593.0
7,VJ630,2023-06-25 13:35:00,2023-06-25 14:55:00,Airbus A321,,3714800.0000000005,2925000.0,2413500.0,593.0
8,VJ632,2023-06-25 15:40:00,2023-06-25 17:00:00,Airbus A321,,3164800.0,1515900.0,1185900.0,593.0
9,VJ634,2023-06-25 16:05:00,2023-06-25 17:25:00,Airbus A321,,3164800.0,1427900.0,1097900.0,593.0
10,VJ636,2023-06-25 18:20:00,2023-06-25 19:40:00,Airbus A321,,3164800.0,1339900.0,1009900.0,593.0
11,VJ638,2023-06-25 19:45:00,2023-06-25 21:05:00,Airbus A321,,3164800.0,1339900.0,1009900.0,593.0
12,VJ646,2023-06-25 20:15:00,2023-06-25 21:35:00,Airbus A321,,3164800.0,1251900.0,921900.0,593.0
13,VJ640,2023-06-25 20:35:00,2023-06-25 21:50:00,Airbus A321,,3164800.0,1251900.0,921900.0,593.0
14,VJ644,2023-06-25 21:10:00,2023-06-25 22:30:00,Airbus A321,,3164800.0,1251900.0,921900.0,593.0
15,VJ642,2023-06-25 21:45:00,2023-06-25 23:05:00,Airbus A320,,3164800.0,1427900.0,1097900.0,593.0
16,VJ620,2023-06-26 05:35:00,2023-06-26 06:55:00,Airbus A321,,3164800.0,1427900.0,1097900.0,593.0
17,VJ622,2023-06-26 07:05:00,2023-06-26 08:25:00,Airbus A321,,3714800.0000000005,2925000.0,2413500.0,593.0
18,VJ624,2023-06-26 09:35:00,2023-06-26 10:55:00,Airbus A321,,3164800.0,1746900.0,1361900.0,593.0
19,VJ628,2023-06-26 11:30:00,2023-06-26 12:50:00,Airbus A321,,3164800.0,1658900.0,1273900.0,593.0
20,VJ630,2023-06-26 13:35:00,2023-06-26 14:55:00,Airbus A321,,3164800.0,1515900.0,1185900.0,593.0
21,VJ632,2023-06-26 15:40:00,2023-06-26 17:00:00,Airbus A321,,3164800.0,1515900.0,1185900.0,593.0
22,VJ634,2023-06-26 16:05:00,2023-06-26 17:25:00,Airbus A320,,3164800.0,1427900.0,1097900.0,593.0
23,VJ636,2023-06-26 18:20:00,2023-06-26 19:40:00,Airbus A321,,3164800.0,1339900.0,1009900.0,593.0
24,VJ638,2023-06-26 19:45:00,2023-06-26 21:05:00,Airbus A320,,3164800.0,1339900.0,1009900.0,593.0
25,VJ646,2023-06-26 20:15:00,2023-06-26 21:35:00,Airbus A321,,3164800.0,1251900.0,921900.0,593.0
26,VJ640,2023-06-26 20:35:00,2023-06-26 21:50:00,Airbus A321,,3164800.0,1251900.0,921900.0,593.0
27,VJ644,2023-06-26 21:10:00,2023-06-26 22:30:00,Airbus A321,,3164800.0,887800.0,756900.0,593.0
28,VJ642,2023-06-26 21:45:00,2023-06-26 23:05:00,Airbus A321,,3164800.0,887800.0,756900.0,593.0
29,VJ620,2023-06-27 05:35:00,2023-06-27 06:55:00,Airbus A321,,3164800.0,1251900.0,921900.0,593.0
30,VJ622,2023-06-27 07:05:00,2023-06-27 08:25:00,Airbus A321C,,3164800.0,1427900.0,1097900.0,593.0
31,VJ624,2023-06-27 09:35:00,2023-06-27 10:55:00,Airbus A321,,3164800.0,1515900.0,1185900.0,593.0
32,VJ628,2023-06-27 11:30:00,2023-06-27 12:50:00,Airbus A320,,3164800.0,1515900.0,1185900.0,593.0
33,VJ630,2023-06-27 13:35:00,2023-06-27 14:55:00,Airbus A321,,3164800.0,1515900.0,1185900.0,593.0
34,VJ632,2023-06-27 15:40:00,2023-06-27 17:00:00,Airbus A321,,3164800.0,1515900.0,1185900.0,593.0
35,VJ636,2023-06-27 18:20:00,2023-06-27 19:40:00,Airbus A321,,3164800.0,1339900.0,1009900.0,593.0
36,VJ638,2023-06-27 19:45:00,2023-06-27 21:05:00,Airbus A321,,3164800.0,1251900.0,921900.0,593.0
37,VJ646,2023-06-27 20:15:00,2023-06-27 21:35:00,Airbus A321,,3164800.0,887800.0,756900.0,593.0
